stadium_name,stadium_city,stadium_state,stadium_country,stadium_active,stadium_deleted,stadium_timezone
Arbab Niaz Stadium,Peshawar, Khyber Pakhtunkhwa,Pakistan,TRUE,FALSE,Asia/Karachi
Iqbal Stadium,Faisalabad, Punjab,Pakistan,TRUE,FALSE,Asia/Karachi
Nehru Stadium (formerly Club of Maharashtra),Pune, Maharashtra,India,TRUE,FALSE,Asia/Kolkata
Tasmania Cricket Association Ground,Hobart, Tasmania,Australia,TRUE,FALSE,Australia/Hobart
"Vidarbha Cricket Association Ground(VCA, Nagpur)",Nagpur, Maharashtra,India,TRUE,FALSE,Asia/Kolkata
Sector 16 Stadium,Chandigarh, Chandigarh,India,TRUE,FALSE,Asia/Kolkata
Kensington Oval (The Mecca),Bridgetown, Barbados (West Indies),Barbados,TRUE,FALSE,America/Barbados
Pindi Club Ground (Army Sports Ground),Rawalpindi, Punjab,Pakistan,TRUE,FALSE,Asia/Karachi
North Tasmania Cricket Association Ground,Launceston, Tasmania,Australia,TRUE,FALSE,Australia/Hobart
Asgiriya Stadium,Kandy, Central Province,Sri Lanka,TRUE,FALSE,Asia/Colombo
Ranasinghe Premadasa Stadium(formerly Khetterama Stadium),Colombo, Western Province,Sri Lanka,TRUE,FALSE,Asia/Colombo
Madhavrao Scindia Cricket Ground (formerly Racecourse/Corporation Ground/Municipal Stadium),Rajkot, Saurashtra,India,TRUE,FALSE,Asia/Kolkata
Modi Stadium (formerly Green Park/British India Corporation Ground),Kanpur, Uttar Pradesh,India,TRUE,FALSE,Asia/Kolkata
Wankhede Stadium,Mumbai, Maharashtra,India,TRUE,FALSE,Asia/Kolkata
Formby Recreation Ground (Devonport Oval),Devonport, Tasmania,Australia,TRUE,FALSE,Australia/Hobart
Eden Gardens,Kolkata, West Bengal,India,TRUE,FALSE,Asia/Kolkata
M. A. Chidambaram Stadium (Chepauk),Chennai, Tamil Nadu,India,TRUE,FALSE,Asia/Kolkata
Bellerive Oval,Hobart, Tasmania,Australia,TRUE,FALSE,Australia/Hobart
Nahar Singh Stadium (formerly Mayur Stadium),Faridabad, Haryana,India,TRUE,FALSE,Asia/Kolkata
Captain Roop Singh Stadium,Gwalior, Madhya Pradesh,India,TRUE,FALSE,Asia/Kolkata
Bourda,Georgetown, Guyana (West Indies),Guyana,TRUE,FALSE,America/Guyana
MA Aziz Stadium,Chittagong, Chittagong Division,Bangladesh,TRUE,FALSE,Asia/Dhaka
Bangabandhu National Stadium(Number 1 Dhaka Stadium),Dhaka, Dhaka Division,Bangladesh,TRUE,FALSE,Asia/Dhaka
Indira Priyadarshini Stadium(Municipal Corporation Vizag Stadium),Visakhapatnam, Andhra Pradesh,India,TRUE,FALSE,Asia/Kolkata
Brabourne Stadium,Mumbai, Maharashtra,India,TRUE,FALSE,Asia/Kolkata
Nehru Stadium(Pandit Jawaharlal Nehru Stadium),Fatorda, Goa,India,TRUE,FALSE,Asia/Kolkata
K.D. Singh Babu Stadium,Lucknow, Uttar Pradesh,India,TRUE,FALSE,Asia/Kolkata
Sports Stadium (Sargodha Stadium),Sargodha, Punjab,Pakistan,TRUE,FALSE,Asia/Karachi
Rawalpindi Cricket Stadium,Rawalpindi, Punjab,Pakistan,TRUE,FALSE,Asia/Karachi
Pukekura Park,New Plymouth, Taranaki,New Zealand,TRUE,FALSE,Pacific/Auckland
Ray Mitchell Oval (Harrup Park),Mackay, Queensland,Australia,TRUE,FALSE,Australia/Queensland
Eastern Oval,Ballarat, Victoria,Australia,TRUE,FALSE,Australia/Victoria
Manuka Oval,Canberra, Australian Capital Territory,Australia,TRUE,FALSE,Australia/Canberra
Berri Oval,Berri, South Australia,Australia,TRUE,FALSE,Australia/South
Lavington Sports Oval (Lavington Sports Club),Albury, New South Wales,Australia,TRUE,FALSE,Australia/Melbourne
Harare Sports Club(formerly Salisbury Sports Club),Harare,Harare,Zimbabwe,TRUE,FALSE,Africa/Harare
Bulawayo Athletic Club,Bulawayo,Bulawayo,Zimbabwe,TRUE,FALSE,Africa/Harare
Sahara Park Newlands (Newlands),Cape Town, Western Cape,South Africa,TRUE,FALSE,Africa/Johannesburg
Axxess DSL St. Georges (St George’s Park),Port Elizabeth, Eastern Cape,South Africa,TRUE,FALSE,Africa/Johannesburg
SuperSport Park (Centurion Park),Centurion, Gauteng,South Africa,TRUE,FALSE,Africa/Johannesburg
New Wanderers Stadium (Wanderers),Johannesburg, Gauteng,South Africa,TRUE,FALSE,Africa/Johannesburg
